id,category,supplier,date,amount,cost_center,description
238,16,10,2022-05-06,5280.9,RND001,Freight and logistics costs
239,7,13,2022-09-24,5673.79,RND001,Purchase of casting materials item/service.
240,17,18,2022-05-30,67480.23,LOG001,Software license fees
241,15,19,2023-07-08,27318.16,PROD001,CNC machining charges
242,17,10,2023-12-09,17379.14,PROD003,Software license fees
243,16,3,2023-07-23,52478.86,IT002,Freight and logistics costs
244,16,5,2023-05-22,62348.21,IT001,Freight and logistics costs
245,15,5,2023-07-16,18859.67,PROD001,CNC machining charges
246,11,6,2023-12-06,5495.44,PROD002,Purchase of brake disc & drum components item/service.
247,8,14,2023-05-08,9009.88,ADM002,Purchase of chemicals & fluids item/service.
248,20,2,2023-12-21,22346.42,RND001,Product quality testing
249,17,5,2023-04-15,71437.89,PROD001,Software license fees
250,17,12,2023-05-06,70722.9,IT001,Software license fees
251,14,13,2023-08-16,39454.24,PROD002,Purchase of sensors & electronics item/service.
252,15,20,2023-10-31,63420.77,PROD002,CNC machining charges
253,17,11,2023-09-22,55134.24,LOG001,Software license fees
254,5,14,2023-12-21,40023.34,PROD002,Purchase of steel alloys item/service.
255,16,5,2023-01-05,37167.29,IT002,Freight and logistics costs
256,19,10,2023-09-06,44478.92,IT002,Monthly electricity bill
257,15,3,2023-12-11,5709.96,ADM001,CNC machining charges
258,17,15,2023-02-26,34325.12,RND001,Software license fees
259,20,5,2023-03-17,28264.39,IT002,Product quality testing
260,17,12,2023-02-04,14111.88,RND001,Software license fees
261,14,7,2023-11-18,52209.75,RND001,Purchase of sensors & electronics item/service.
262,20,11,2023-01-25,41848.63,SALES001,Product quality testing
263,11,7,2023-07-17,72469.56,IT001,Purchase of brake disc & drum components item/service.
264,17,10,2023-02-05,2437.77,ADM002,Software license fees
265,20,11,2023-09-03,26712.48,PROD001,Product quality testing
266,20,1,2023-03-03,65398.09,SALES001,Product quality testing
267,10,17,2023-04-20,34747.62,PROD001,Purchase of brake pad & lining components item/service.
268,17,19,2023-08-18,69386.25,LOG001,Software license fees
269,11,6,2023-04-18,8052.77,SALES001,Purchase of brake disc & drum components item/service.
270,20,20,2023-07-27,41178.11,ADM001,Product quality testing
271,18,18,2023-02-16,44503.57,SALES001,Factory maintenance services
272,14,8,2023-04-29,25840.69,LOG001,Purchase of sensors & electronics item/service.
273,15,11,2023-12-02,51862.29,PROD002,CNC machining charges
274,18,20,2023-09-21,51114.43,IT002,Factory maintenance services
275,20,10,2023-07-13,43203.94,PROD003,Product quality testing
276,20,10,2023-09-01,74421.09,IT001,Product quality testing
277,5,13,2023-03-16,72924.51,IT001,Purchase of steel alloys item/service.
278,17,20,2023-03-16,19733.02,IT001,Software license fees
279,20,5,2023-08-08,27204.61,IT002,Product quality testing
280,9,16,2023-01-01,41048.52,ADM001,Purchase of brake caliper sub-assemblies item/service.
281,18,15,2023-12-27,7163.08,PROD003,Factory maintenance services
282,15,9,2023-07-15,37967.02,IT001,CNC machining charges
283,20,10,2023-01-24,56724.89,IT002,Product quality testing
284,17,12,2023-07-11,63206.27,PROD001,Software license fees
285,19,3,2023-06-27,46669.4,IT002,Monthly electricity bill
286,15,19,2023-08-14,45000.01,RND001,CNC machining charges
287,20,2,2023-01-24,7911.51,LOG001,Product quality testing
288,15,12,2023-05-10,11466.52,ADM002,CNC machining charges
289,16,18,2023-02-09,20819.27,IT001,Freight and logistics costs
290,6,2,2023-12-17,34392.3,SALES001,Purchase of rubber & polymers item/service.
291,15,19,2023-01-26,5973.72,ADM002,CNC machining charges
292,15,20,2023-02-02,74012.6,IT001,CNC machining charges
293,6,6,2023-11-18,20071.94,RND001,Purchase of rubber & polymers item/service.
294,20,10,2023-12-03,18978.52,RND001,Product quality testing
295,20,15,2023-10-17,15257.74,PROD001,Product quality testing
296,15,7,2023-03-28,72251.51,RND001,CNC machining charges
297,9,4,2023-11-07,18396.86,ADM002,Purchase of brake caliper sub-assemblies item/service.
298,20,20,2023-01-25,71526.82,IT002,Product quality testing
299,17,5,2023-09-09,20855.79,ADM001,Software license fees
300,16,19,2023-12-22,20711.68,LOG001,Freight and logistics costs
301,11,2,2023-08-01,7375.28,LOG001,Purchase of brake disc & drum components item/service.
302,15,10,2023-11-12,28760.02,LOG001,CNC machining charges
303,19,19,2023-02-18,21928.04,ADM002,Monthly electricity bill
304,15,10,2023-11-28,28366.84,LOG001,CNC machining charges
305,19,15,2023-06-27,47101.23,LOG001,Monthly electricity bill
306,7,13,2023-11-04,64115.45,SALES001,Purchase of casting materials item/service.
307,19,12,2023-07-20,31182.59,IT002,Monthly electricity bill
308,13,17,2023-06-25,70783.68,ADM001,Purchase of fasteners & hardware item/service.
309,5,16,2023-03-03,64297.18,ADM002,Purchase of steel alloys item/service.
310,16,5,2023-03-07,18613.11,LOG001,Freight and logistics costs
311,11,6,2023-04-25,55884.84,IT001,Purchase of brake disc & drum components item/service.
312,15,11,2023-09-15,17903.5,IT001,CNC machining charges
313,8,17,2023-07-11,55926.22,RND001,Purchase of chemicals & fluids item/service.
314,6,2,2023-12-06,31238.61,SALES001,Purchase of rubber & polymers item/service.
315,8,14,2023-04-25,68839.26,ADM002,Purchase of chemicals & fluids item/service.
316,18,19,2023-11-21,47095.54,PROD003,Factory maintenance services
317,19,10,2023-11-24,68214.79,RND001,Monthly electricity bill
318,18,15,2023-09-11,59571.22,SALES001,Factory maintenance services
319,10,4,2023-04-15,42290.06,PROD002,Purchase of brake pad & lining components item/service.
320,13,17,2023-08-14,5190.54,RND001,Purchase of fasteners & hardware item/service.
321,16,19,2024-12-17,68421.7,SALES001,Freight and logistics costs
322,18,5,2024-09-07,43439.36,ADM002,Factory maintenance services
323,8,2,2024-08-17,66867.83,IT001,Purchase of chemicals & fluids item/service.
324,19,11,2024-04-21,10574.72,PROD003,Monthly electricity bill
325,17,18,2024-03-01,26234.01,SALES001,Software license fees
326,15,15,2024-09-17,50520.16,SALES001,CNC machining charges
327,15,19,2024-02-11,73043.5,SALES001,CNC machining charges
328,17,5,2024-08-26,72204.64,ADM002,Software license fees
329,6,1,2024-11-06,20072.58,LOG001,Purchase of rubber & polymers item/service.
330,16,19,2024-02-20,62426.11,IT001,Freight and logistics costs
331,13,8,2024-09-13,55837.91,ADM002,Purchase of fasteners & hardware item/service.
332,20,18,2024-08-09,46543.07,LOG001,Product quality testing
333,16,15,2024-04-16,57739.8,SALES001,Freight and logistics costs
334,19,11,2024-01-17,69228.39,ADM002,Monthly electricity bill
335,17,19,2024-04-27,61634.92,SALES001,Software license fees
336,18,18,2024-03-31,43134.55,RND001,Factory maintenance services
337,18,18,2024-12-17,5008.25,RND001,Factory maintenance services
338,19,5,2024-12-29,8225.76,IT001,Monthly electricity bill
339,16,15,2024-02-14,13714.27,RND001,Freight and logistics costs
340,13,9,2024-04-28,4339.57,ADM001,Purchase of fasteners & hardware item/service.
341,17,11,2024-08-28,66725.04,SALES001,Software license fees
342,19,19,2024-06-03,68547.29,PROD002,Monthly electricity bill
343,17,18,2024-07-13,73389.04,SALES001,Software license fees
344,17,12,2024-03-27,12927.77,IT001,Software license fees
345,15,18,2024-02-04,3195.95,IT001,CNC machining charges
346,9,14,2024-09-01,1730.67,LOG001,Purchase of brake caliper sub-assemblies item/service.
347,19,5,2024-03-31,27765.61,SALES001,Monthly electricity bill
348,9,4,2024-03-27,51463.44,SALES001,Purchase of brake caliper sub-assemblies item/service.
349,18,3,2024-11-24,7742.82,SALES001,Factory maintenance services
350,17,12,2024-09-09,50472.76,SALES001,Software license fees
351,9,14,2024-08-31,66882.26,ADM001,Purchase of brake caliper sub-assemblies item/service.
352,16,19,2024-04-04,58147.33,IT001,Freight and logistics costs
353,18,19,2024-04-04,71599.35,SALES001,Factory maintenance services
354,15,8,2024-03-28,66773.52,RND001,CNC machining charges
355,14,7,2024-10-11,44975.31,PROD003,Purchase of sensors & electronics item/service.
356,19,10,2024-05-20,48508.36,LOG001,Monthly electricity bill
357,5,8,2024-09-06,39144.98,LOG001,Purchase of steel alloys item/service.
358,17,5,2024-07-24,21747.51,RND001,Software license fees
359,18,11,2024-08-23,42732.13,PROD001,Factory maintenance services
360,16,11,2024-09-10,14016.24,RND001,Freight and logistics costs
361,20,12,2024-05-13,70001.69,ADM001,Product quality testing
362,17,15,2024-08-06,43777.62,RND001,Software license fees
363,17,3,2024-12-08,46667.62,PROD001,Software license fees
364,18,10,2024-11-07,9429.98,ADM001,Factory maintenance services
365,20,15,2024-01-19,41703.06,LOG001,Product quality testing
366,20,15,2024-01-15,10703.22,ADM002,Product quality testing
367,8,9,2024-08-23,10402.43,PROD001,Purchase of chemicals & fluids item/service.
368,15,19,2024-08-07,45279.31,LOG001,CNC machining charges
369,19,20,2024-08-31,67752.66,ADM002,Monthly electricity bill
370,18,20,2024-10-30,63938.37,RND001,Factory maintenance services
371,18,5,2024-08-02,62906.51,ADM002,Factory maintenance services
372,12,17,2024-12-28,15206.91,SALES001,Purchase of hydraulic system parts item/service.
373,16,15,2024-12-25,53803.79,RND001,Freight and logistics costs
374,15,6,2024-08-19,5036.91,SALES001,CNC machining charges
375,16,18,2024-07-29,62142.83,PROD003,Freight and logistics costs
376,15,3,2024-12-01,66449.13,LOG001,CNC machining charges
377,13,7,2024-02-14,70758.62,LOG001,Purchase of fasteners & hardware item/service.
378,19,19,2024-08-03,20385.59,IT001,Monthly electricity bill
379,18,10,2024-05-15,15214.27,RND001,Factory maintenance services
380,20,5,2024-06-17,5272.17,SALES001,Product quality testing
381,15,11,2024-09-10,58788.29,IT001,CNC machining charges
382,18,10,2024-10-25,73590.39,LOG001,Factory maintenance services
383,20,9,2024-05-09,68539.45,ADM002,Product quality testing
384,15,15,2024-05-12,64730.48,SALES001,CNC machining charges
385,17,10,2024-12-05,50231.75,IT001,Software license fees
386,16,19,2024-12-17,36805.15,IT001,Freight and logistics costs
387,19,20,2024-09-09,36847.44,LOG001,Monthly electricity bill
388,15,19,2024-03-13,7101.87,LOG001,CNC machining charges
389,16,19,2024-03-15,15140.48,IT001,Freight and logistics costs
390,14,7,2024-12-08,55049.88,IT001,Purchase of sensors & electronics item/service.
391,16,15,2024-04-10,38106.79,ADM001,Freight and logistics costs
392,18,18,2024-03-22,64513.96,IT001,Factory maintenance services
393,5,7,2024-05-23,67929.56,SALES001,Purchase of steel alloys item/service.
394,20,18,2024-02-03,26085.21,SALES001,Product quality testing
395,17,19,2024-08-20,1922.26,LOG001,Software license fees
396,20,20,2024-10-13,4228.92,ADM002,Product quality testing
397,19,18,2024-08-25,2514.17,SALES001,Monthly electricity bill
398,8,4,2024-09-09,65839.82,IT002,Purchase of chemicals & fluids item/service.
399,16,19,2024-01-17,20138.3,SALES001,Freight and logistics costs
400,19,5,2024-04-16,73413.04,ADM002,Monthly electricity bill
401,15,12,2025-03-31,8141.29,ADM001,CNC machining charges
402,16,20,2025-02-26,5486.4,RND001,Freight and logistics costs
403,18,18,2025-02-16,46533.97,IT002,Factory maintenance services
404,17,10,2025-03-10,45023.86,PROD002,Software license fees
405,19,18,2025-02-10,18627.83,RND001,Monthly electricity bill
406,8,6,2025-03-12,58508.74,RND001,Purchase of chemicals & fluids item/service.
407,10,16,2025-01-23,37748.53,IT001,Purchase of brake pad & lining components item/service.
408,19,19,2025-05-27,71635.57,ADM001,Monthly electricity bill
409,12,1,2025-03-02,51818.98,ADM001,Purchase of hydraulic system parts item/service.
410,16,5,2025-03-31,62410.49,RND001,Freight and logistics costs
411,20,6,2025-02-18,41078.26,LOG001,Product quality testing
412,20,5,2025-02-03,27917.99,ADM002,Product quality testing
413,10,1,2025-04-03,33265.37,SALES001,Purchase of brake pad & lining components item/service.
414,18,18,2025-03-28,60753.34,LOG001,Factory maintenance services
415,17,18,2025-02-01,72403.89,ADM001,Software license fees
416,17,10,2025-06-22,27653.75,IT002,Software license fees
417,17,19,2025-02-12,6790.99,IT001,Software license fees
418,16,20,2025-04-13,37560.25,ADM001,Freight and logistics costs
419,19,11,2025-06-03,23073.42,ADM002,Monthly electricity bill
420,17,20,2025-06-11,62956.36,ADM001,Software license fees
421,16,18,2025-06-04,36125.2,ADM002,Freight and logistics costs
422,9,1,2025-02-24,13886.37,RND001,Purchase of brake caliper sub-assemblies item/service.
